"upload_date","country_name","country_code","year","supra_reg","fishing_tech","vessel_length","geo_indicator","cluster_name","fs_name","variable_group","variable_name","variable_code","value","unit","fromtable","framework","template_name","gear","fishery","activity"
2024-04-09,"Sweden","SWE",2008,"NAO","PGP","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PMP","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DTS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Income","Gross value of landings","totlandginc",16270212.47,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DTS","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Income","Gross value of landings","totlandginc",62149116.35,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","HOK","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","HOK","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","HOK","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","HOK","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL1218","NGI","NAOINACTVL1012NGI","SWE NAO INA1218 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PGO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PGO","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PGP","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","FPO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","FPO","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DTS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Gross value of landings","totlandginc",2407516.466,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PS","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PS","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","TM","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","TM","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","TM","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DRB","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","FPO","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","FPO","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","FPO","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","HOK","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL0008","NGI","NAOINACTVL0008NGI","SWE NAO INA0008 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL0010","NGI","NAOINACTVL0010NGI","SWE NAO INA0010 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL0812","NGI","NAOINACTVL0812NGI","SWE NAO INA0812 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DFN","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Gross value of landings","totlandginc",2607795.571,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DFN","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Gross value of landings","totlandginc",4678770.611,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DFN","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Gross value of landings","totlandginc",5959679.52,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DFN","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Gross value of landings","totlandginc",4852806.621,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PGP","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DFN","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DTS","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Income","Gross value of landings","totlandginc",1381078.527,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PMP","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PMP","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PMP","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DTS","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Income","Income from leasing out quota","totrightsinc",0,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL1012","NGI","NAOINACTVL1012NGI","SWE NAO INA1218 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PGP","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PGP","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PMP","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DTS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Income","Income from leasing out quota","totrightsinc",0,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DTS","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Income","Income from leasing out quota","totrightsinc",0,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","HOK","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","HOK","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","HOK","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","HOK","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL1218","NGI","NAOINACTVL1012NGI","SWE NAO INA1218 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PGO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PGO","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PGP","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","FPO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","FPO","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DTS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Income from leasing out quota","totrightsinc",0,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PS","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PS","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","TM","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","TM","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","TM","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DRB","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","FPO","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","FPO","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","FPO","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","HOK","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL0008","NGI","NAOINACTVL0008NGI","SWE NAO INA0008 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL0010","NGI","NAOINACTVL0010NGI","SWE NAO INA0010 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL0812","NGI","NAOINACTVL0812NGI","SWE NAO INA0812 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DFN","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Income from leasing out quota","totrightsinc",0,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DFN","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Income from leasing out quota","totrightsinc",0,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DFN","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Income from leasing out quota","totrightsinc",0,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DFN","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Income from leasing out quota","totrightsinc",0,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PGP","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DFN","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DTS","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Income","Income from leasing out quota","totrightsinc",0,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PMP","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PMP","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PMP","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DTS","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Income","Other income","tototherinc",3771261.673,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL1012","NGI","NAOINACTVL1012NGI","SWE NAO INA1218 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PGP","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PGP","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PMP","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DTS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Income","Other income","tototherinc",2689517.831,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DTS","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Income","Other income","tototherinc",12243581.34,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","HOK","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","HOK","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","HOK","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","HOK","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL1218","NGI","NAOINACTVL1012NGI","SWE NAO INA1218 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PGO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PGO","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PGP","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","FPO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","FPO","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DTS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Other income","tototherinc",392580.5904,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PS","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PS","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","TM","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","TM","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","TM","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DRB","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","FPO","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","FPO","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","FPO","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","HOK","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL0008","NGI","NAOINACTVL0008NGI","SWE NAO INA0008 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL0010","NGI","NAOINACTVL0010NGI","SWE NAO INA0010 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL0812","NGI","NAOINACTVL0812NGI","SWE NAO INA0812 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DFN","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Other income","tototherinc",245776.2077,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DFN","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Other income","tototherinc",457277.5237,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DFN","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Other income","tototherinc",691234.7148,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DFN","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Other income","tototherinc",942670.7845,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","PGP","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2024-04-09,"Sweden","SWE",2008,"NAO","DFN","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Other income","tototherinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
